Category,City,Country,Customer ID,Customer Name,Market,Order Date,Order ID,Order Priority,Product ID,Product Name,Profit,Quantity,Sales,Segment,Ship Date,Ship Mode,Shipping Cost,State,Sub-Category,Week Number,Shipping Duration (Day),Region,Order Month,Order Quarter,Order Year,Sales Category,Location Key
Office Supplies,Los Angeles,United States,KD-163454,Katherine Ducich,North America - US,12/13/2011,CA-2011-113579,High,OFF-PA-10001457,White GlueTop Scratch Pads,41.5104,6,90,Consumer,12/15/2011,Second Class,8.53,California,Paper,51,2,North America - US - West,December,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,North America - US,2/15/2012,CA-2012-116092,Medium,OFF-PA-10004285,Xerox 1959,6.4128,2,13,Consumer,2/18/2012,Second Class,1,California,Paper,7,3,North America - US - West,February,1,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JM-161954,Justin MacKendrick,North America - US,2/15/2012,CA-2012-116092,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,19,Consumer,2/18/2012,Second Class,0.06,California,Paper,7,3,North America - US - West,February,1,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,RD-195854,Rob Dowd,North America - US,2/16/2012,CA-2012-121776,High,OFF-PA-10001970,Xerox 1881,17.3148,3,37,Consumer,2/21/2012,Standard Class,4.04,California,Paper,7,5,North America - US - West,February,1,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AB-101654,Alan Barnes,North America - US,3/28/2012,CA-2012-131534,Medium,OFF-PA-10000743,Xerox 1977,16.032,5,33,Consumer,4/2/2012,Standard Class,2.25,California,Paper,13,5,North America - US - West,March,1,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AR-105404,Andy Reiter,North America - US,4/11/2012,US-2012-136987,Medium,OFF-PA-10003127,Staples,24.2696,2,53,Consumer,4/14/2012,Second Class,1.59,California,Paper,15,3,North America - US - West,April,2,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LH-171554,Logan Haushalter,North America - US,6/19/2012,CA-2012-121965,Medium,OFF-PA-10004355,Xerox 231,3.1104,1,6,Consumer,6/23/2012,Standard Class,0.52,California,Paper,25,4,North America - US - West,June,2,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AR-105104,Andrew Roberts,North America - US,8/31/2012,CA-2012-112319,High,OFF-PA-10003441,Xerox 226,27.9936,9,58,Consumer,9/5/2012,Standard Class,7.98,California,Paper,35,5,North America - US - West,August,3,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,North America - US,11/22/2012,CA-2012-137708,High,OFF-PA-10000176,Xerox 1887,18.2112,2,38,Consumer,11/25/2012,Second Class,3.9,California,Paper,47,3,North America - US - West,November,4,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,NG-184304,Nathan Gelder,North America - US,11/22/2012,CA-2012-137708,High,OFF-PA-10000327,Xerox 1971,19.26,10,43,Consumer,11/25/2012,Second Class,6.15,California,Paper,47,3,North America - US - West,November,4,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DP-130004,Darren Powers,North America - US,11/24/2012,CA-2012-105347,Medium,OFF-PA-10000675,Xerox 1919,180.7659,9,369,Consumer,11/28/2012,Standard Class,6.98,California,Paper,47,4,North America - US - West,November,4,2012,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,TS-213404,Toby Swindell,North America - US,11/24/2012,CA-2012-153416,Medium,OFF-PA-10002005,Xerox 225,9.3312,3,19,Consumer,11/29/2012,Standard Class,1.68,California,Paper,47,5,North America - US - West,November,4,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,KM-167204,Kunst Miller,North America - US,11/24/2012,CA-2012-135545,Medium,OFF-PA-10003892,Xerox 1943,68.9631,3,147,Consumer,11/30/2012,Standard Class,4.93,California,Paper,47,6,North America - US - West,November,4,2012,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,North America - US,12/20/2012,CA-2012-158918,Medium,OFF-PA-10004947,Staples,7.704,4,17,Consumer,12/25/2012,Second Class,1.31,California,Paper,51,5,North America - US - West,December,4,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,North America - US,12/30/2012,CA-2012-135580,Medium,OFF-PA-10000595,Xerox 1929,31.5192,3,69,Consumer,1/3/2013,Standard Class,6.36,California,Paper,53,4,North America - US - West,December,4,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,SW-202454,Scot Wooten,North America - US,3/13/2013,US-2013-119270,Medium,OFF-PA-10004022,Hammermill Color Copier Paper (28Lb. and 96 Bright),8.991,2,20,Consumer,3/17/2013,Standard Class,1.3,California,Paper,11,4,North America - US - West,March,1,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CC-122204,Chris Cortes,North America - US,3/29/2013,CA-2013-131380,Critical,OFF-PA-10001243,Xerox 1983,2.9302,1,6,Consumer,4/1/2013,Second Class,1.82,California,Paper,13,3,North America - US - West,March,1,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,North America - US,4/9/2013,CA-2013-130477,High,OFF-PA-10002947,Xerox 1923,9.6192,3,20,Consumer,4/13/2013,Standard Class,2.92,California,Paper,15,4,North America - US - West,April,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LC-171404,Logan Currie,North America - US,4/9/2013,CA-2013-130477,High,OFF-PA-10000019,Xerox 1931,6.2208,2,13,Consumer,4/13/2013,Standard Class,2.28,California,Paper,15,4,North America - US - West,April,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JF-152954,Jason Fortune-,North America - US,4/13/2013,CA-2013-163594,Medium,OFF-PA-10000809,Xerox 206,9.3312,3,19,Consumer,4/15/2013,First Class,1.77,California,Paper,15,2,North America - US - West,April,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JO-152804,Jas O'Carroll,North America - US,4/20/2013,US-2013-115819,Medium,OFF-PA-10002377,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 200/Messages",10.224,4,23,Consumer,4/25/2013,Second Class,3.87,California,Paper,16,5,North America - US - West,April,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,TB-216254,Trudy Brown,North America - US,5/9/2013,CA-2013-111696,High,OFF-PA-10002751,Xerox 1920,8.073,3,18,Consumer,5/11/2013,First Class,3.42,California,Paper,19,2,North America - US - West,May,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,TT-210704,Ted Trevino,North America - US,5/12/2013,CA-2013-162733,Medium,OFF-PA-10002751,Xerox 1920,2.691,1,6,Consumer,5/13/2013,First Class,0.41,California,Paper,20,1,North America - US - West,May,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DO-134354,Denny Ordway,North America - US,5/17/2013,CA-2013-133144,Medium,OFF-PA-10004971,Xerox 196,8.4966,3,17,Consumer,5/22/2013,Second Class,1.82,California,Paper,20,5,North America - US - West,May,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LS-172454,Lynn Smith,North America - US,5/28/2013,CA-2013-136994,Medium,OFF-PA-10000575,"Wirebound Message Books, Four 2 3/4 x 5 White Forms per Page",6.1548,2,13,Consumer,6/3/2013,Standard Class,0.88,California,Paper,22,6,North America - US - West,May,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CL-125654,Clay Ludtke,North America - US,5/29/2013,CA-2013-134803,Low,OFF-PA-10003790,Xerox 1991,84.0512,8,183,Consumer,6/4/2013,Standard Class,17.93,California,Paper,22,6,North America - US - West,May,2,2013,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,OT-187304,Olvera Toch,North America - US,6/11/2013,CA-2013-113243,Medium,OFF-PA-10003441,Xerox 226,15.552,5,32,Consumer,6/16/2013,Standard Class,1.91,California,Paper,24,5,North America - US - West,June,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,North America - US,6/17/2013,CA-2013-148593,Medium,OFF-PA-10001776,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",21.7845,5,46,Consumer,6/19/2013,Second Class,1.14,California,Paper,25,2,North America - US - West,June,2,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,MV-181904,Mike Vittorini,North America - US,6/18/2013,CA-2013-123512,Critical,OFF-PA-10001497,Xerox 1914,107.7216,4,220,Consumer,6/20/2013,First Class,74.66,California,Paper,25,2,North America - US - West,June,2,2013,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,GT-147554,Guy Thornton,North America - US,7/4/2013,CA-2013-130029,High,OFF-PA-10000552,Xerox 200,6.2208,2,13,Consumer,7/7/2013,First Class,1.62,California,Paper,27,3,North America - US - West,July,3,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CC-123704,Christopher Conant,North America - US,7/8/2013,CA-2013-135265,Critical,OFF-PA-10002923,Xerox 1942,24.47,1,49,Consumer,7/10/2013,Second Class,10.36,California,Paper,28,2,North America - US - West,July,3,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JM-155804,Jill Matthias,North America - US,8/15/2013,CA-2013-136021,High,OFF-PA-10000551,Array Memo Cubes,7.6146,3,16,Consumer,8/19/2013,Standard Class,2.15,California,Paper,33,4,North America - US - West,August,3,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,BD-113204,Bill Donatelli,North America - US,8/16/2013,CA-2013-167241,Low,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",18.0096,4,38,Consumer,8/23/2013,Standard Class,4.05,California,Paper,33,7,North America - US - West,August,3,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,North America - US,9/30/2013,US-2013-101497,High,OFF-PA-10000176,Xerox 1887,9.1056,1,19,Consumer,10/2/2013,Second Class,1.89,California,Paper,40,2,North America - US - West,September,3,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CC-124754,Cindy Chapman,North America - US,10/8/2013,CA-2013-155033,High,OFF-PA-10000143,Astroparche Fine Business Paper,5.0688,2,11,Consumer,10/13/2013,Standard Class,1.61,California,Paper,41,5,North America - US - West,October,4,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JE-157454,Joel Eaton,North America - US,10/9/2013,US-2013-162026,Critical,OFF-PA-10000167,Xerox 1925,27.882,2,62,Consumer,10/9/2013,Same Day,3,California,Paper,41,0,North America - US - West,October,4,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,North America - US,11/4/2013,CA-2013-109365,Medium,OFF-PA-10004359,Multicolor Computer Printout Paper,150.984,3,315,Consumer,11/9/2013,Standard Class,22.15,California,Paper,45,5,North America - US - West,November,4,2013,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,North America - US,11/4/2013,CA-2013-109365,Medium,OFF-PA-10001725,Xerox 1892,56.9772,3,116,Consumer,11/9/2013,Standard Class,5.57,California,Paper,45,5,North America - US - West,November,4,2013,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,North America - US,11/4/2013,CA-2013-109365,Medium,OFF-PA-10000477,Xerox 22,9.3312,3,19,Consumer,11/9/2013,Standard Class,1.3,California,Paper,45,5,North America - US - West,November,4,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,North America - US,11/11/2013,CA-2013-158694,High,OFF-PA-10002421,Embossed Ink Jet Note Cards,32.5008,3,68,Consumer,11/14/2013,Second Class,10.83,California,Paper,46,3,North America - US - West,November,4,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AI-108554,Arianne Irving,North America - US,11/11/2013,CA-2013-158694,High,OFF-PA-10001363,Xerox 1933,28.858,5,61,Consumer,11/14/2013,Second Class,8.68,California,Paper,46,3,North America - US - West,November,4,2013,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,SO-203354,Sean O'Donnell,North America - US,1/15/2014,CA-2014-149076,Medium,OFF-PA-10000483,Xerox 19,69.705,5,155,Consumer,1/20/2014,Standard Class,9.12,California,Paper,3,5,North America - US - West,January,1,2014,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CK-125954,Clytie Kelty,North America - US,2/24/2014,CA-2014-104647,Medium,OFF-PA-10002870,"Ampad Phone Message Book, Recycled, 400 Message Capacity, 5 ¾” x 11”",16.848,6,37,Consumer,3/2/2014,Standard Class,3.82,California,Paper,9,6,North America - US - West,February,1,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,PS-187604,Pamela Stobb,North America - US,4/18/2014,CA-2014-128965,Medium,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",13.5072,3,28,Consumer,4/23/2014,Standard Class,2.84,California,Paper,16,5,North America - US - West,April,2,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LL-168404,Lauren Leatherbury,North America - US,4/26/2014,CA-2014-120222,Medium,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",8.763,3,19,Consumer,5/3/2014,Standard Class,1.52,California,Paper,17,7,North America - US - West,April,2,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,North America - US,5/3/2014,CA-2014-147844,Medium,OFF-PA-10003016,"Adams ""While You Were Out"" Message Pads",7.065,5,16,Consumer,5/7/2014,Standard Class,0.93,California,Paper,18,4,North America - US - West,May,2,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DD-135704,Dorothy Dickinson,North America - US,5/3/2014,CA-2014-147844,Medium,OFF-PA-10002713,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",15.824,5,34,Consumer,5/7/2014,Standard Class,2.54,California,Paper,18,4,North America - US - West,May,2,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DV-134654,Dianna Vittorini,North America - US,6/12/2014,US-2014-152002,Medium,OFF-PA-10000357,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",60.2553,3,123,Consumer,6/12/2014,Same Day,23.65,California,Paper,24,0,North America - US - West,June,2,2014,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CC-126704,Craig Carreira,North America - US,6/19/2014,CA-2014-112753,High,OFF-PA-10002036,Xerox 1930,19.0512,6,39,Consumer,6/24/2014,Standard Class,4.89,California,Paper,25,5,North America - US - West,June,2,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,TT-212204,Thomas Thornton,North America - US,7/1/2014,US-2014-113201,Medium,OFF-PA-10000675,Xerox 1919,100.4255,5,205,Consumer,7/6/2014,Standard Class,14.98,California,Paper,27,5,North America - US - West,July,3,2014,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,TB-215204,Tracy Blumstein,North America - US,7/24/2014,CA-2014-133718,Critical,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),27.9936,9,58,Consumer,7/27/2014,First Class,7.82,California,Paper,30,3,North America - US - West,July,3,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,KT-164804,Kean Thornton,North America - US,8/21/2014,CA-2014-105326,Medium,OFF-PA-10001639,Xerox 203,12.4416,4,26,Consumer,8/28/2014,Standard Class,1.27,California,Paper,34,7,North America - US - West,August,3,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,LC-170504,Liz Carlisle,North America - US,9/10/2014,CA-2014-137498,Medium,OFF-PA-10000143,Astroparche Fine Business Paper,22.8096,9,48,Consumer,9/15/2014,Second Class,5.29,California,Paper,37,5,North America - US - West,September,3,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JM-158654,John Murray,North America - US,9/13/2014,US-2014-109582,Medium,OFF-PA-10004071,"Eaton Premium Continuous-Feed Paper, 25% Cotton, Letter Size, White, 1000 Shts/Box",79.8912,3,166,Consumer,9/18/2014,Second Class,11.1,California,Paper,37,5,North America - US - West,September,3,2014,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,DB-136604,Duane Benoit,North America - US,9/24/2014,CA-2014-121853,Medium,OFF-PA-10003641,Xerox 1909,97.0784,8,211,Consumer,9/30/2014,Standard Class,15.64,California,Paper,39,6,North America - US - West,September,3,2014,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,XP-218654,Xylona Preis,North America - US,10/10/2014,US-2014-115595,Medium,OFF-PA-10001745,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",16.544,5,35,Consumer,10/12/2014,First Class,7.79,California,Paper,41,2,North America - US - West,October,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,GA-147254,Guy Armstrong,North America - US,11/12/2014,CA-2014-110842,Medium,OFF-PA-10000520,Xerox 201,9.3312,3,19,Consumer,11/17/2014,Standard Class,1.43,California,Paper,46,5,North America - US - West,November,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,North America - US,11/13/2014,US-2014-125808,High,OFF-PA-10001846,Xerox 1899,5.6644,2,12,Consumer,11/16/2014,Second Class,1.71,California,Paper,46,3,North America - US - West,November,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,CC-125504,Clay Cheatham,North America - US,12/2/2014,CA-2014-118542,Medium,OFF-PA-10004735,Xerox 1905,21.7728,7,45,Consumer,12/6/2014,Standard Class,3.56,California,Paper,49,4,North America - US - West,December,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,North America - US,12/19/2014,CA-2014-102099,Medium,OFF-PA-10003172,Xerox 1996,6.2208,2,13,Consumer,12/20/2014,First Class,0.94,California,Paper,51,1,North America - US - West,December,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,EP-139154,Emily Phan,North America - US,12/19/2014,CA-2014-102099,Medium,OFF-PA-10000289,Xerox 213,15.552,5,32,Consumer,12/20/2014,First Class,1.09,California,Paper,51,1,North America - US - West,December,4,2014,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,SR-207404,Steven Roelle,North America - US,2/21/2011,CA-2011-164903,High,OFF-PA-10003363,Xerox 204,6.2208,2,13,Home Office,2/25/2011,Standard Class,1.14,California,Paper,9,4,North America - US - West,February,1,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,North America - US,4/6/2011,CA-2011-102652,Medium,OFF-PA-10001977,Xerox 194,26.6304,1,55,Corporate,4/12/2011,Standard Class,2.28,California,Paper,15,6,North America - US - West,April,2,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AY-105554,Andy Yotov,North America - US,4/6/2011,CA-2011-102652,Medium,OFF-PA-10003309,Xerox 211,9.3312,3,19,Corporate,4/12/2011,Standard Class,2.11,California,Paper,15,6,North America - US - West,April,2,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AH-100304,Aaron Hawkins,North America - US,5/13/2011,CA-2011-113768,Medium,OFF-PA-10003063,EcoTones Memo Sheets,3.84,2,8,Corporate,5/19/2011,Standard Class,0.15,California,Paper,20,6,North America - US - West,May,2,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,VF-217154,Vicky Freymann,North America - US,7/25/2011,CA-2011-146528,High,OFF-PA-10002195,Xerox 1966,3.1752,1,6,Home Office,7/27/2011,Second Class,0.79,California,Paper,31,2,North America - US - West,July,3,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,JM-152654,Janet Molinari,North America - US,8/25/2011,CA-2011-104178,High,OFF-PA-10004983,Xerox 23,12.4416,4,26,Corporate,8/29/2011,Standard Class,3.11,California,Paper,35,4,North America - US - West,August,3,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,GG-146504,Greg Guthrie,North America - US,10/31/2011,CA-2011-106439,High,OFF-PA-10000477,Xerox 1952,30.4278,13,65,Corporate,11/4/2011,Standard Class,6.72,California,Paper,45,4,North America - US - West,October,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,PL-189254,Paul Lucas,North America - US,11/1/2011,CA-2011-168305,Medium,OFF-PA-10004947,Staples,9.63,5,21,Home Office,11/8/2011,Standard Class,0.92,California,Paper,45,7,North America - US - West,November,4,2011,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,MA-175604,Matt Abelman,North America - US,11/11/2011,CA-2011-140732,High,OFF-PA-10003625,Xerox 1979,55.764,4,124,Home Office,11/13/2011,Second Class,27.69,California,Paper,46,2,North America - US - West,November,4,2011,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,MC-181304,Mike Caudle,North America - US,3/19/2012,CA-2012-163104,Medium,OFF-PA-10001947,Xerox 1974,5.8604,2,12,Corporate,3/26/2012,Standard Class,1.2,California,Paper,12,7,North America - US - West,March,1,2012,Low Sales,North America - US|United States|North America - US - West|California|Los Angeles
Office Supplies,Los Angeles,United States,AM-103604,Alice McCarthy,North America - US,3/23/2012,US-2012-107944,High,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",92.5056,11,193,Corporate,3/25/2012,First Class,27.31,California,Paper,12,2,North America - US - West,March,1,2012,Medium Sales,North America - US|United States|North America - US - West|California|Los Angeles
